#gene	KO-hom	KO-het	DMG-hom	DMG-het	BEN-hom	BEN-het
5S_rRNA	0	0	0	0	131	2115
5_8S_rRNA	0	0	0	0	0	1
6M1-18	0	0	0	0	2	149
7SK	0	6	0	0	144	3053
A1BG	0	0	1	63	19	314
A1BG-AS1	0	0	0	0	20	378
A1CF	0	0	6	92	68	1091
A2M	0	0	1	121	6	145
A2M-AS1	0	0	0	0	7	386
A2ML1	1	76	13	431	36	684
A2MP1	0	0	0	0	14	909
A4GALT	0	0	1	93	19	479
A4GNT	0	7	0	71	8	207
AA06	0	0	0	0	29	222
AAAS	0	3	0	33	8	221
AACS	0	0	12	212	38	803
AACSP1	0	0	0	11	190	3844
AADAC	0	5	1	63	2	71
AADACL2	0	4	0	26	0	3
AADACL3	2	55	10	317	47	941
AADACL4	0	0	1	39	19	392
AADAT	0	0	0	6	128	4011
AAED1	0	1	35	281	3	82
AAGAB	0	0	0	15	0	256
AAK1	0	0	9	185	326	3947
AAMDC	0	2	0	3	1	45
AAMP	0	0	6	99	1	45
AANAT	0	1	1	120	0	304
AAR2	0	1	0	25	45	457
AARD	0	0	5	114	17	265
AARS	0	0	36	241	8	191
AARS2	0	1	15	251	20	449
AARSD1	0	6	0	23	1	80
AASDH	0	1	41	554	22	545
AASDHPPT	0	0	0	3	29	371
AASS	0	0	0	43	17	587
AATF	0	1	0	81	41	373
AATK	0	0	11	303	18	633
AATK-AS1	0	0	7	155	30	751
AB000466	0	0	0	0	6	205
AB073649	0	0	0	0	11	258
AB074160	0	0	0	0	18	446
AB074162	0	0	0	0	1	81
AB074166	0	0	0	0	13	206
AB075489	0	0	0	0	20	331
AB075492	0	0	0	0	28	788
AB209061	0	0	0	83	20	467
AB209185	0	0	0	0	1	62
AB209315	0	0	0	0	22	505
AB209621	0	0	0	6	14	393
AB231722	0	0	0	0	0	2
AB231723	0	0	0	0	325	5990
AB231779	0	0	0	0	0	1
AB231784	0	0	0	0	0	13
AB488780	0	0	0	0	0	2
ABAT	0	0	0	23	37	1362
ABCA1	0	0	19	320	112	1647
ABCA10	83	271	2	210	20	406
ABCA11P	0	1	4	116	19	533
ABCA12	0	1	27	497	75	796
ABCA13	0	5	53	1492	76	1448
ABCA17P	0	0	0	2	1911	21111
ABCA2	0	14	16	445	68	1580
ABCA3	0	0	0	126	51	1112
ABCA4	0	0	17	672	14	785
ABCA5	0	0	5	124	17	732
ABCA6	0	0	3	151	3	234
ABCA7	0	6	61	1073	40	685
ABCA8	38	187	42	690	192	1441
ABCA9	0	1	29	399	19	529
ABCB1	0	1	7	214	26	562
ABCB10	0	1	18	245	9	291
ABCB11	0	0	9	183	105	800
ABCB4	0	1	4	126	6	195
ABCB5	0	25	29	678	128	2743
ABCB6	0	2	6	170	6	282
ABCB7	0	0	5	73	18	99
ABCB8	0	2	11	595	20	838
ABCB9	0	0	0	66	137	787
ABCC1	0	0	5	208	37	1097
ABCC10	0	2	2	146	21	556
ABCC11	0	3	43	646	39	699
ABCC12	2	80	52	751	95	1037
ABCC13	0	0	21	337	13	327
ABCC2	0	210	14	459	7	443
ABCC3	0	3	8	317	2	189
ABCC4	0	4	14	314	66	1145
ABCC5	0	0	0	16	120	919
ABCC5-AS1	0	0	0	0	11	107
ABCC6	0	3	11	322	7	401
ABCC6P1	1	116	0	45	4	262
ABCC6P2	0	0	0	10	0	0
ABCC8	0	0	1	118	13	443
ABCC9	0	0	3	98	36	1048
ABCD1	0	0	0	9	9	294
ABCD2	0	1	2	73	44	623
ABCD3	0	0	0	9	18	567
ABCD4	0	0	39	406	150	1692
ABCE1	0	0	0	4	4	243
ABCF1	0	0	1	52	7	313
ABCF2	0	0	2	72	63	1514
ABCF3	0	0	3	132	6	180
ABCG1	2	44	3	84	24	808
ABCG2	0	6	0	39	20	439
ABCG4	0	0	38	138	31	496
ABCG5	0	1	4	263	34	478
ABCG8	0	0	5	293	12	349
ABHD1	0	0	0	63	1	90
ABHD10	0	0	0	117	4	248
ABHD11	0	1	5	94	0	86
ABHD12	0	1	0	78	22	420
ABHD12B	0	0	10	385	12	391
ABHD13	0	0	0	6	90	1905
ABHD14A	0	0	3	101	28	258
ABHD14A-ACY1	0	0	23	151	0	8
ABHD14B	1	23	0	6	42	311
ABHD15	0	26	6	113	1	55
ABHD16A	0	0	1	63	9	274
ABHD16B	0	0	12	365	35	513
ABHD17A	0	0	3	82	6	189
ABHD17B	0	0	0	5	2	152
ABHD17C	0	0	0	1	14	114
ABHD2	0	0	0	16	80	1208
ABHD3	0	0	9	107	2	130
ABHD4	0	1	0	6	26	567
ABHD5	0	0	1	36	73	1555
ABHD6	0	0	0	8	30	497
ABHD8	0	0	0	10	10	186
ABI1	0	0	0	35	24	571
ABI2	0	0	0	5	17	554
ABI3	0	0	9	178	5	231
ABI3BP	0	3	39	654	228	2962
ABL1	0	0	0	102	58	1299
ABL2	0	0	6	218	33	1226
ABLIM1	2	40	6	142	60	1351
ABLIM2	0	0	0	17	19	720
ABLIM3	0	1	1	54	11	445
ABO	9	174	4	204	57	805
ABP1	0	0	15	329	7	131
ABR	0	0	12	286	47	1000
ABRA	0	2	0	64	2	96
ABRACL	0	0	0	0	11	164
ABT1	0	0	0	24	61	941
ABTB1	0	6	0	28	19	317
ABTB2	0	0	2	88	18	653
AC2	0	0	0	0	0	1
ACAA1	0	0	4	190	0	42
ACAA2	0	7	8	134	1	101
ACACA	0	0	2	59	32	854
ACACB	0	0	37	685	51	606
ACAD10	0	7	13	328	20	368
ACAD11	0	7	13	132	30	568
ACAD8	0	0	2	63	138	1446
ACAD9	1	71	0	74	79	1072
ACADL	0	0	3	40	6	214
ACADM	0	0	0	22	54	1061
ACADS	0	2	1	97	90	691
ACADSB	0	1	2	143	18	798
ACADVL	0	0	19	295	9	334
ACAN	0	6	59	858	114	1633
ACAP1	0	0	3	165	11	193
ACAP2	0	0	0	21	77	1702
ACAP3	0	0	0	56	53	1025
ACAT1	0	0	0	5	28	747
ACAT2	0	0	0	11	16	390
ACBD3	0	0	1	35	4	142
ACBD4	0	0	18	213	3	263
ACBD5	0	0	12	225	123	1274
ACBD6	0	0	0	4	1	38
ACBD7	0	0	1	85	41	1104
ACCS	0	0	4	110	25	521
ACCSL	0	0	4	93	8	185
ACD	0	0	0	32	87	625
ACE	2	70	39	507	7	514
ACE2	0	1	0	30	1	63
ACER1	0	0	0	24	15	291
ACER2	0	5	5	194	46	762
ACER3	0	0	0	5	13	498
ACHE	0	0	1	108	37	467
ACIN1	0	4	6	220	28	749
ACLY	0	0	7	214	5	243
ACMSD	0	10	0	38	0	45
ACN9	0	0	0	42	7	214
ACO1	0	0	8	211	47	792
ACO2	0	0	0	24	0	39
ACOT1	0	0	13	31	45	133
ACOT11	0	2	54	672	107	1335
ACOT12	0	1	0	50	2	76
ACOT13	0	0	2	18	38	1280
ACOT2	0	0	3	132	15	281
ACOT4	0	0	18	224	7	181
ACOT6	0	2	4	118	8	156
ACOT7	0	0	0	28	1	310
ACOT8	0	18	1	37	33	416
ACOT9	0	0	3	35	0	23
ACOX1	0	0	11	202	366	6924
ACOX2	0	1	0	41	19	245
ACOX3	0	3	2	166	20	365
ACOXL	0	34	26	292	41	596
ACP1	0	1	0	21	6	244
ACP2	0	0	1	33	4	307
ACP5	1	19	18	470	22	455
ACP6	0	0	0	54	34	579
ACPL2	0	1	0	27	93	1091
ACPP	0	3	0	27	77	1343
ACPT	0	0	1	109	14	178
ACR	0	0	11	180	23	286
ACRBP	0	1	1	54	1	74
ACRC	0	0	0	49	0	86
ACRV1	0	0	8	148	0	42
ACSBG1	0	0	3	149	12	703
ACSBG2	0	1	45	737	72	927
ACSF2	0	0	4	94	5	125
ACSF3	0	3	4	203	48	1031
ACSL1	0	0	1	28	71	1035
ACSL3	0	0	0	190	3	177
ACSL4	0	0	0	6	13	184
ACSL5	0	0	11	223	39	797
ACSL6	0	0	0	125	36	533
ACSM1	0	1	5	218	0	7
ACSM2A	12	113	2	167	19	909
ACSM2B	0	4	15	340	2	312
ACSM3	1	37	17	262	11	231
ACSM4	0	108	3	219	0	78
ACSM5	0	0	59	729	29	748
ACSS1	0	0	15	312	57	1150
ACSS2	0	0	5	137	36	444
ACSS3	0	0	9	115	11	296
ACTA1	0	0	0	0	1	98
ACTA2	0	0	2	74	13	239
ACTB	0	0	0	0	6	306
ACTBL2	0	0	2	84	20	587
ACTC1	0	0	0	1	20	556
ACTG1	0	0	0	32	56	1624
ACTG1P4	0	0	0	0	3	173
ACTG2	0	0	0	1	33	520
ACTL10	0	0	0	17	1	104
ACTL6A	0	0	1	24	0	39
ACTL6B	0	0	0	8	1	67
ACTL7A	0	0	21	253	13	180
ACTL7B	0	0	15	204	5	189
ACTL8	0	0	0	47	10	272
ACTL9	0	0	0	28	9	201
ACTN1	0	0	0	62	59	1332
